scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
lowERLowError,stationary,lowERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.2,0.45,1,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
lowERHighError,stationary,lowERHighError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.2,0.45,1,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
highERLowError,stationary,highERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.5,0.25,1,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
highERHighError,stationary,highERHighError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.5,0.25,1,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
ShiftERLowError,stationary,ShiftERLowError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.5,0.2,25,30,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
ShiftERHighError,stationary,ShiftERHighError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.5,0.2,25,30,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendERLowError,stationary,trendERLowError,prodRegime,1,chinook,50,trendER,stockRecruit,0.125,0.5,6,40,0,0.256,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
trendERHighError,stationary,trendERHighError,prodRegime,1,chinook,50,trendER,stockRecruit,0.125,0.5,6,40,0,0.556,1,FALSE,FALSE,linear,1,50,NA,NA,NA,NA,NA,linear,1,50,NA,NA,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProd_ShiftERLowError,decLinearProd,ShiftERLowError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.5,0.2,25,30,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProd_highERLowError,decLinearProd,highERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.5,0.25,1,40,0,0.256,1,FALSE,FALSE,linear,0.231,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
incLinearProd_ShiftERLowError,incLinearProd,ShiftERLowError,prodRegime,1,chinook,50,shiftER,stockRecruit,0.2,0.5,25,30,0,0.256,1,FALSE,FALSE,linear,1.769,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
incLinearProd_highERLowError,incLinearProd,highERLowError,prodRegime,1,chinook,50,fixedER,stockRecruit,0.5,0.25,1,40,0,0.256,1,FALSE,FALSE,linear,1.769,50,11,45,NA,NA,NA,linear,1,50,1,50,NA,stable,NA,0,FALSE,FALSE,0,FALSE,FALSE,0,0.1,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
